#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
137;Channel_Islands;563;;46;;512;5;;324;265;10255;59017;173764
138;Cabo_Verde;554;12;5;;240;309;;997;9;1307;2352;555608
139;Sao_Tome_and_Principe;513;14;12;;68;433;;2344;55;175;799;218887
140;Tanzania;509;;21;;183;305;7;9;0;;;59611013
141;Togo;495;8;13;;248;234;;60;2;21812;2639;8265220
142;Yemen;484;2;112;1;23;349;;16;4;120;4;29780759
143;Réunion;480;;1;;411;68;4;536;1;172;1922;894923
144;Palestine;472;8;3;;403;66;;93;1;44876;8811;5093173
145;Taiwan;443;;7;;430;6;;19;0;73471;3085;23814271
146;Rwanda;439;8;2;;290;147;;34;0;75013;5802;12929633
147;Malawi;438;29;4;;55;379;3;23;0;626;328;19094890
148;Mozambique;424;15;2;;127;295;;14;0;1401;449;31192256
149;Liberia;359;14;30;;194;135;;71;6;;;5049404
150;Mauritius;337;;10;;324;3;;265;8;131516;103422;1271646
151;Isle_of_Man;336;;24;;312;0;;3953;282;5123;60266;85006
152;Eswatini;333;11;3;;225;105;5;287;3;6551;565;1159413
153;Vietnam;329;;;;307;22;1;3;;275;2827;97284432
154;Montenegro;324;;9;;315;0;;516;14;13186;20995;628061
155;Zimbabwe;282;3;4;;34;244;;19;0;52905;3563;14848910
156;Benin;261;;3;;151;107;;22;0;409;338;12100615
157;Libya;256;;5;;52;199;;37;1;9259;1349;6865288
158;Myanmar;242;2;6;;156;80;;4;0;37319;686;54387686
159;Martinique;202;;14;;98;90;;538;37;;;375282
160;Mongolia;193;;;;75;118;14;59;;16279;4971;3274827
161;Faeroe_Islands;187;;;;187;0;;3828;;10298;2108;48852
162;Gibraltar;176;1;;;164;12;;5224;;902;267719;33692
163;Guadeloupe;164;;14;;144;6;1;410;35;4975;12434;40012
164;Cayman_Islands;164;;1;;93;70;;2497;15;13947;21237;65673
165;Guyana;154;;12;;80;62;3;196;15;1797;2285;786326
166;Bermuda;141;;9;;114;18;2;2264;144;7891;12668;62291
167;Syria;141;16;6;;58;77;;8;0;;;17470870
168;Brunei;141;;2;;138;1;1;322;5;20619;47159;437219
169;Comoros;141;;2;;67;72;;162;2;;;868334
170;Cambodia;126;1;;;123;3;1;8;;23156;1386;16704067
171;Suriname;122;22;1;;9;112;;208;2;1165;1987;586307
172;Trinidad_and_Tobago;117;;8;;108;1;;84;6;3409;2436;1399221
173;Bahamas;103;;11;;62;30;2;262;28;2194;5583;393011
174;Aruba;101;;3;;98;0;;946;28;2179;20414;106739
175;Monaco;99;;4;;93;2;1;2524;102;162;413002;39225
176;Barbados;92;;7;;81;4;1;320;24;59;20532;287355
177;Angola;91;3;4;;24;63;1;3;0;10;305;32790719
178;Burundi;83;;1;;45;37;;7;0;382;32;11864879
179;Liechtenstein;82;;1;;55;26;;2151;26;900;23608;38122
180;Sint_Maarten;77;;15;;61;1;1;1797;350;470;1097;42845
181;French_Polynesia;60;;;;60;0;;214;;4262;15178;28081
182;Bhutan;48;;;;11;37;;62;;19348;25092;771074
183;Macao;45;;;;45;0;;69;;;;648766
184;Saint_Martin;41;;3;;33;5;1;1062;78;614;15898;38622
185;Botswana;40;;1;;23;16;;17;0;24006;10222;2348407
186;Eritrea;39;;;;39;0;;11;;;;3543261
187;Namibia;29;;;;16;13;;11;;4588;1808;2537837
188;St._Vincent_Grenadines;27;1;;;16;11;;243;;638;5752;110919
189;Antigua_and_Barbuda;26;;3;;20;3;1;266;31;246;2513;97879
190;Gambia;26;;1;;21;4;;11;0;1907;791;2411767
191;Timor-Leste;24;;;;24;0;;18;;1568;1191;1316758
192;Grenada;23;;;;22;1;2;204;;3516;31256;112492
193;Curaçao;21;;1;;15;5;;128;6;985;6004;164053
194;New_Caledonia;20;;;;19;1;;70;;7065;24761;285327
195;Belize;19;;2;;16;1;;48;5;1741;4384;397147
196;Laos;19;;;;18;1;;3;;8307;1143;7268725
197;Saint_Lucia;19;;;;18;1;;103;;1204;6559;183577
198;Dominica;18;;;;16;2;;250;;534;7419;71976
199;Fiji;18;;;;18;0;;20;;2431;2713;896049
200;Saint_Kitts_and_Nevis;15;;;;15;0;;282;;408;7673;53176
201;Falkland_Islands;13;;;;13;0;;3743;;535;154045;3473
202;Greenland;13;;;;13;0;;229;;2288;40307;56764
203;Turks_and_Caicos;12;;1;;11;0;;310;26;192;4963;38683
204;Vatican_City;12;;;;12;0;;14981;;;;801
205;Montserrat;11;;1;;10;0;;2204;200;61;1222;4992
206;Seychelles;11;;;;11;0;;112;;;;9831
207;MS_Zaandam;9;;2;;;7;;;;;;
208;Western_Sahara;9;;1;;6;2;;15;2;;;596308
209;British_Virgin_Islands;8;;1;;7;0;;265;33;167;5526;30219
210;Papua_New_Guinea;8;;;;8;0;;9;;4646;520;8935646
211;Caribbean_Netherlands;7;;;;7;0;;267;;424;16178;26208
212;St._Barth;6;;;;6;0;;608;;137;13873;9875
213;Lesotho;4;;;;2;2;;2;;1515;708;2141209
214;Anguilla;3;;;;3;0;;200;;41;2734;14995
215;Saint_Pierre_Miquelon;1;;;;1;0;;173;;;;5796
